epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6352.87,1.79823,0.90546,1.32483,0.87616,0.83675,0.89557,0.50224,1.92026,0.76367,1.36803,0.0003367,0.0003367,0.0003367
69,6929.77,1.79528,0.90229,1.32027,0.88216,0.83215,0.89687,0.50282,1.91852,0.76155,1.3674,0.0003268,0.0003268,0.0003268
70,7506.55,1.7886,0.88968,1.31688,0.87406,0.83435,0.89698,0.50438,1.91573,0.76031,1.3661,0.0003169,0.0003169,0.0003169
71,8082.8,1.78876,0.88862,1.31479,0.87705,0.83433,0.89792,0.50492,1.91391,0.75754,1.36504,0.000307,0.000307,0.000307
72,8659,1.78157,0.88346,1.31177,0.87328,0.83899,0.89829,0.50514,1.91273,0.75567,1.36434,0.0002971,0.0002971,0.0002971
73,9235.06,1.77697,0.88113,1.30928,0.87722,0.8359,0.89887,0.50623,1.91135,0.75321,1.36436,0.0002872,0.0002872,0.0002872
74,9812.02,1.7714,0.87502,1.3104,0.87922,0.84138,0.89895,0.50676,1.91039,0.75206,1.36341,0.0002773,0.0002773,0.0002773
75,10392.4,1.76443,0.87089,1.30414,0.87257,0.843,0.89844,0.50776,1.91024,0.75106,1.36259,0.0002674,0.0002674,0.0002674
76,10970.1,1.76306,0.86241,1.30218,0.87471,0.84647,0.90069,0.50903,1.90892,0.74938,1.36125,0.0002575,0.0002575,0.0002575
77,11547.4,1.7648,0.86727,1.30383,0.87742,0.84364,0.89979,0.50928,1.90787,0.7484,1.36101,0.0002476,0.0002476,0.0002476
78,12124,1.76723,0.87049,1.31065,0.87723,0.84434,0.89941,0.5094,1.90728,0.74675,1.36138,0.0002377,0.0002377,0.0002377
79,12700.4,1.75321,0.85746,1.30246,0.8779,0.8453,0.89979,0.50975,1.90646,0.74567,1.36152,0.0002278,0.0002278,0.0002278
80,13276.9,1.74546,0.8494,1.29659,0.87869,0.84796,0.90087,0.51004,1.90535,0.74488,1.36063,0.0002179,0.0002179,0.0002179
81,13854,1.74632,0.85617,1.29903,0.87725,0.84814,0.90036,0.51006,1.90456,0.74393,1.36031,0.000208,0.000208,0.000208
82,14432.6,1.73954,0.84787,1.29728,0.88027,0.84613,0.90115,0.51051,1.90454,0.74278,1.36047,0.0001981,0.0001981,0.0001981
83,15009.1,1.73042,0.84191,1.29159,0.88057,0.84644,0.9015,0.51087,1.90513,0.74185,1.36128,0.0001882,0.0001882,0.0001882
84,15587,1.73104,0.8395,1.29214,0.88151,0.847,0.90351,0.51133,1.90406,0.74062,1.36112,0.0001783,0.0001783,0.0001783
85,16165.4,1.72726,0.83666,1.28888,0.88388,0.84532,0.90258,0.51097,1.90375,0.73976,1.36097,0.0001684,0.0001684,0.0001684
86,16742.2,1.72035,0.82805,1.28672,0.88149,0.84869,0.9025,0.51147,1.90322,0.73878,1.36078,0.0001585,0.0001585,0.0001585
87,17332,1.71739,0.82963,1.28559,0.87853,0.84898,0.90238,0.51129,1.90253,0.73798,1.36045,0.0001486,0.0001486,0.0001486
88,17907.9,1.71753,0.82575,1.28393,0.87911,0.84885,0.90232,0.51118,1.9026,0.73797,1.36055,0.0001387,0.0001387,0.0001387
89,18483.3,1.71523,0.82227,1.28004,0.87779,0.84838,0.9019,0.51184,1.90214,0.73751,1.36028,0.0001288,0.0001288,0.0001288
90,19065,1.70019,0.81698,1.27922,0.87771,0.8457,0.9019,0.51225,1.90188,0.73701,1.35989,0.0001189,0.0001189,0.0001189
91,19690.5,1.67056,0.69549,1.27428,0.87581,0.84386,0.90081,0.51189,1.90203,0.73628,1.35978,0.000109,0.000109,0.000109
92,20264.4,1.64821,0.68105,1.26638,0.87629,0.84291,0.90209,0.51239,1.9023,0.73584,1.3597,9.91e-05,9.91e-05,9.91e-05
93,20858.2,1.63917,0.67972,1.26164,0.87653,0.84425,0.90222,0.51253,1.90198,0.73495,1.3593,8.92e-05,8.92e-05,8.92e-05
94,21425.6,1.63379,0.67321,1.25936,0.87652,0.84505,0.90248,0.51236,1.90169,0.73451,1.35886,7.93e-05,7.93e-05,7.93e-05
95,21956,1.62868,0.66914,1.26069,0.87458,0.8461,0.90259,0.51274,1.90132,0.73421,1.35827,6.94e-05,6.94e-05,6.94e-05
96,22487.6,1.62959,0.66636,1.25516,0.87931,0.84142,0.90216,0.51266,1.90139,0.73336,1.35801,5.95e-05,5.95e-05,5.95e-05
97,23041.9,1.62436,0.66375,1.25696,0.87346,0.84635,0.90213,0.51271,1.90114,0.73282,1.35781,4.96e-05,4.96e-05,4.96e-05
98,23613.6,1.61638,0.65959,1.25492,0.86806,0.84963,0.90242,0.51354,1.90131,0.73239,1.35796,3.97e-05,3.97e-05,3.97e-05
99,24184.6,1.61261,0.66236,1.25029,0.86639,0.85135,0.90197,0.51325,1.90105,0.73169,1.35762,2.98e-05,2.98e-05,2.98e-05
100,24749.5,1.60813,0.65544,1.2499,0.87129,0.84672,0.90282,0.51386,1.90178,0.73106,1.35767,1.99e-05,1.99e-05,1.99e-05
